test_id,repeat_idx,mode,scenario,P_off,P_res_s,P_res_b,p_0_s,p_0_b,offchain_time,total_gas,match_time,match_success,failure_reason,P_on,PDR,buyer_addr,seller_addr,SDF,ECE
S1,57,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.91,66.46630209660655,98.60170023109036,75.53696890944056,45.31288131657834,0.0,681079,0.122,1,No matching event found,84.6712,0.07874492480435004,buyer_S1_57,seller_S1_57,0.9334939362752703,-0.604433868350527
S1,58,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",90.36,95.57014643977612,112.54245806626416,153.7507917256968,62.557533780046185,0.0,681610,0.0985,1,No matching event found,104.0267,0.15127107180367605,buyer_S1_58,seller_S1_58,0.9982558502535425,0.0
S1,59,BASELINE,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",96.06,84.42143503607656,153.5469561875237,109.10624459265966,103.18239100603817,0.0,677284,0.0978,1,No matching event found,98.986,0.030466146812418004,buyer_S1_59,seller_S1_59,0.7106973621510054,-1.4167774218847522
S1,0,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",92.21,51.486466079751715,110.99263396195317,54.46558039226375,82.94649641818427,0.0,667954,0.0864,1,No matching event found,92.2057,7.369083984251544e-07,buyer_S1_0,seller_S1_0,0.8157140617615276,-0.6502040575793919
S1,1,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",88.8,76.91932045933304,127.93625755675683,103.0793471688924,121.3084724433534,0.0,667938,0.0867,1,No matching event found,88.7969,9.16942044043911e-07,buyer_S1_1,seller_S1_1,0.7328163981695942,-1.5669920474902996
S1,2,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.33,56.43879658323641,104.47647897944977,72.89889365091243,76.2681927432566,0.0,667954,0.0875,1,No matching event found,91.3345,9.909499298125783e-07,buyer_S1_2,seller_S1_2,0.7735764575621096,-8.943288704156608
S1,3,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",85.51,98.29752256113305,137.91956799833164,150.4793616223314,110.58615336384615,0.0,640737,0.0742,0,价格超出容错范围; 价格协商失败,,,,,,
S1,4,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",95.13,78.12288628848292,110.30983216761162,105.1057155212035,99.66937999539012,0.0,667938,0.0862,1,No matching event found,95.1288,4.166114068926977e-10,buyer_S1_4,seller_S1_4,0.9716518375064471,-1.670456127599207
S1,5,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",89.97,87.24595457393073,108.94926702985981,139.7990326956842,34.37542875608352,0.0,667938,0.0766,1,No matching event found,89.9729,1.0302903591125848e-06,buyer_S1_5,seller_S1_5,0.6256465081819479,0.0
S1,6,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.31,83.22071660405481,134.88731167839128,116.98017020885602,90.59225628491525,0.0,667938,0.0826,1,No matching event found,91.308,3.418179734914407e-07,buyer_S1_6,seller_S1_6,0.6565282826226391,0.0
S1,7,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",85.67,87.73276962921153,129.8513630704322,128.54886632422637,121.53038475849318,0.0,667938,0.089,1,No matching event found,85.67,1.099578311678964e-07,buyer_S1_7,seller_S1_7,0.45102472659514936,-10.218844182358993
S1,8,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",94.41,100.77144912215743,134.06705112085098,148.37765668719237,64.0978928000389,0.0,640725,0.0761,0,价格超出容错范围; 价格协商失败,,,,,,
S1,9,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",88.88,94.27511374174702,116.98638294541115,146.36549608927865,105.8539104560627,0.0,667938,0.0844,1,No matching event found,88.879,6.081777498446278e-08,buyer_S1_9,seller_S1_9,0.26240369072476,-0.8380274526773777
S1,10,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.79,80.12449810225273,133.97412170110488,102.5330032279555,40.71109427634553,0.0,667986,0.0823,1,No matching event found,91.7867,2.175703966269499e-07,buyer_S1_10,seller_S1_10,0.7165697941479363,0.0
S1,11,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",90.87,104.16171596079316,107.84880834328398,138.653194911371,60.10526087909573,0.0,640785,0.0662,0,价格超出容错范围; 价格协商失败,,,,,,
S1,12,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",94.63,66.52641242995855,122.37545331236535,85.6019197067461,72.65285175486856,0.0,667990,0.0848,1,No matching event found,94.634,6.255916546527281e-07,buyer_S1_12,seller_S1_12,0.9967221079190329,-1.3950162786726747
S1,13,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",91.72,93.97245767188154,122.9633607245693,101.27499208378589,97.24802056238765,0.0,667986,0.0846,1,No matching event found,91.7227,1.681140287143147e-08,buyer_S1_13,seller_S1_13,0.42239780638109636,-2.7441567604973556
S1,14,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",92.88,52.80348799315536,132.88933183117328,72.92370377324579,81.4654043985027,0.0,668002,0.0814,1,No matching event found,92.8824,1.0579516954050942e-06,buyer_S1_14,seller_S1_14,0.9995506061232434,-2.673237122766502
S1,15,STATIC,"{""market"": ""\u9ad8\u6ce2\u52a8"", ""quality"": ""\u4f4e\u8d28\u91cf""}",100.0,92.06384827346777,138.1862722291525,113.6814508544636,76.85259995874863,0.0,667986,0.0884,1,No matching event found,100.0038,2.5021999779105774e-07,buyer_S1_15,seller_S1_15,0.6721494892410919,0.0
